11/8/2011 15:31,12/30/2011 17:11,368465,,AOD25713404-38070,,,1,121.66,0
11/20/2011 18:30,12/5/2011 20:40,399777,,PS2PKGTE00-38313,,,1,36,14.95
11/24/2011 23:55,12/2/2011 20:04,413835,,PN43D450-37923,,,1,470.8,0
11/27/2011 0:00,12/2/2011 17:19,425294,,42PT350-34367,,,1,324.99,0
11/28/2011 21:00,12/2/2011 17:17,428576,,TCP42S30-35818,,,1,481.5,0
11/29/2011 13:30,12/7/2011 19:58,431260,,F502553-37259,,,1,55.6,0
11/29/2011 19:30,12/2/2011 20:04,435376,,50PW350-32082,,,1,624.99,0
11/29/2011 20:30,12/6/2011 14:30,435804,,TCP50X3-35286,,,1,325.72,35
11/30/2011 3:59,12/2/2011 13:04,438795,,55LW5600-38872,,,1,825,0
11/30/2011 19:30,12/1/2011 17:14,441960,,LE2420-35845,,,1,120,34.95
11/30/2011 21:00,12/1/2011 17:14,442011,,AS5736Z4427-38756,,,1,329.99,0
11/30/2011 21:00,12/1/2011 17:14,442012,,VISION24C8G-37226,,,1,14.5,19.9
11/30/2011 21:00,12/1/2011 17:14,442012,,VISION24C8G-37647,,,1,12.99,19.9
11/30/2011 21:30,12/1/2011 17:14,442028,,9701940403-38485,,,1,19.99,0
11/30/2011 22:00,12/1/2011 17:14,442046,,IN5030S11BF-36452,,,1,368.95,0
11/30/2011 22:00,12/1/2011 17:14,442047,,TC7300BLK-38421,,,1,1.15,19.95
11/30/2011 23:00,12/1/2011 14:39,442306,,83070-37914,,,1,14.99,0
11/30/2011 23:30,12/1/2011 17:14,442554,,PN4310-37236,,,1,30.8,0
12/1/2011 0:30,12/1/2011 17:14,442651,,LT2106U-38643,,,1,164.99,0
12/1/2011 1:00,12/2/2011 20:03,442666,,50PT350-37777,,,1,551.99,0
12/1/2011 3:00,12/1/2011 17:14,442688,,LE2420-33802,,,1,159.99,0
12/1/2011 6:00,12/1/2011 14:35,442699,,MC941LLA-38233,,,1,14.99,0
12/1/2011 6:00,12/1/2011 17:13,442700,,MSAVDVD1913-37961,,,1,124.99,0
12/1/2011 8:22,12/1/2011 17:13,442725,,ACC/ANT800R-36400,,,1,40.59,0
12/1/2011 8:30,12/2/2011 20:03,442728,,PN43D450-38402,,,1,408.79,0
12/1/2011 9:00,12/1/2011 17:13,442739,,IN5030S11BF-36452,,,1,368.95,0
12/1/2011 9:00,12/1/2011 17:13,442740,,TWLSPA-38628,,,1,130,14.95
12/1/2011 10:00,12/1/2011 17:13,443778,,46SL417U-37890,,,1,599.99,0
12/1/2011 12:00,12/1/2011 17:13,443983,,98903-35422,,,1,0.99,24.95
12/1/2011 13:00,12/1/2011 17:13,444014,,PN4310-30846,,,1,42.68,0
12/1/2011 13:00,12/1/2011 17:13,444015,,DV76169NR-38434,,,1,563.73,0
12/1/2011 13:30,12/1/2011 17:13,444031,,DX734-37136,,,1,0.99,11.95
12/1/2011 14:30,12/1/2011 17:13,444061,,I15RN8042DB-36781,,,1,439.95,0
12/1/2011 18:00,12/2/2011 20:03,444963,,GQ756-37975,,,1,2.25,42.95
12/1/2011 18:30,12/2/2011 18:52,445143,,KDL60EX720-38467,,,1,1824.99,0
12/1/2011 18:30,12/2/2011 20:03,445145,,IM5030S2800-35038,,,1,309.99,0
12/1/2011 20:00,12/2/2011 20:03,445317,,PN4310-30846,,,1,42.68,0
12/1/2011 20:30,12/2/2011 20:03,445331,,IO23051109M-38729,,,1,620.95,0
12/1/2011 21:00,12/2/2011 20:03,445345,,DSIPKGGS00-38086,,,1,96,14.95
12/1/2011 21:00,12/2/2011 20:03,445346,,DSIPKG2-38361,,,1,91,14.95
12/1/2011 21:00,12/2/2011 17:55,445347,,VISION30C8G-38723,,,1,39.5,0
12/1/2011 21:00,12/2/2011 20:03,445348,,WIIPKG2-38391,,,1,81,14.95
12/1/2011 21:00,12/2/2011 20:03,445349,,DSIPKG1-38304,,,1,91,14.95
12/1/2011 21:30,12/2/2011 20:03,445368,,DV122-34788,,,1,379.99,0
12/1/2011 22:00,12/2/2011 20:03,445384,,610214618351-37368,,,1,0.99,9.95
12/1/2011 23:30,12/2/2011 20:03,445436,,VPCEE31FXBJ-35417,,,1,357.95,0
12/2/2011 0:00,12/2/2011 20:03,445449,,PN4310-30846,,,1,42.68,0
12/2/2011 7:30,12/2/2011 17:57,447672,,MC700HD2M-37478,,,1,12.99,0
